author_id	full_name	first_name	n_pubs	gender	discipline
29497643	charlier, jc	jean-christophe	158	m	PHYSICS AND MATERIALS SCIENCE
30230102	delhalle, j	joseph	303	m	PHYSICS AND MATERIALS SCIENCE
30481508	leenaers, a	ann	50	f	PHYSICS AND MATERIALS SCIENCE
30701526	duprez, t	thierry	193	m	CLINICAL MEDICINE
31858529	boullart, l	luc	33	m	ELECTRICAL ENGINEERING AND TELECOMMUNICATION
32122421	biesemans, s	serge	71	m	PHYSICS AND MATERIALS SCIENCE
32124661	rooman, r	raoul	65	m	CLINICAL MEDICINE
32128820	goovaerts, e	etienne	172	m	PHYSICS AND MATERIALS SCIENCE
32596103	segal, a	andrei	25	m	BASIC LIFE SCIENCES
32602638	delguste, p	pierre	19	m	CLINICAL MEDICINE
32605342	de graeve, i	iris	70	f	PHYSICS AND MATERIALS SCIENCE
32609289	salmon, i	isabelle	343	f	CLINICAL MEDICINE
33571476	poleunis, c	claude	85	m	CHEMISTRY AND CHEMICAL ENGINEERING
35359275	knockaert, dc	daniel c.	86	m	CLINICAL MEDICINE
35368100	gabriels, l	loes	41	f	CLINICAL MEDICINE
37025958	d'hooghe, t	thomas	402	m	CLINICAL MEDICINE
37529623	everaert, k	karel	132	m	CLINICAL MEDICINE
37541874	viane, rll	ronald l. l.	32	m	BIOLOGICAL SCIENCES
37542942	fortemps, p	philippe	22	m	STATISTICAL SCIENCES
37795419	d'haese, l	luc	23	m	AGRICULTURE AND FOOD SCIENCE
38040673	richert, b	bertrand	54	m	CLINICAL MEDICINE
38327393	colpaert, jv	jan v.	63	m	BIOLOGICAL SCIENCES
38552960	bosmans, e	eugene	170	m	CLINICAL MEDICINE
40003735	roelants, p	patricia	18	f	CLINICAL MEDICINE
40312498	moens, t	tom	106	m	BIOLOGICAL SCIENCES
40315456	blommaert, jadl	joris	125	m	ASTRONOMY AND ASTROPHYSICS
40514636	de wolf, h	hans	37	m	BIOLOGICAL SCIENCES
40519165	hagelstein, mt	marie-therese	13	f	CLINICAL MEDICINE
41248112	van der elst, j	josiane	137	f	BASIC LIFE SCIENCES
41554016	witte, e	els	11	f	HISTORY, PHILOSOPHY AND RELIGION
41886846	talloen, w	willem	10	m	BIOLOGICAL SCIENCES
41896456	dauwe, s	simonne	31	f	CLINICAL MEDICINE
43005127	van barel, m	marc	133	m	MATHEMATICS
43246387	salmon, e	eric	251	m	BIOMEDICAL SCIENCES
43258805	de werf, fv	frans van	65	m	CLINICAL MEDICINE
43948665	fauville-dufaux, m	maryse	27	f	BASIC LIFE SCIENCES
